date	path	username	file	ext	filename	filename_ok	filename_pieces	filename_remainder
2023-08-28	_data_CCBR	jailwalapa	summary	txt	data/20230828/20230828._data_CCBR.jailwalapa.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	kopardevn	grubbers	tsv	data/20230828/20230828._data_CCBR.kopardevn.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	kopardevn	summary	txt	data/20230828/20230828._data_CCBR.kopardevn.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	kuhnsa	grubbers	tsv	data/20230828/20230828._data_CCBR.kuhnsa.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	kuhnsa	summary	txt	data/20230828/20230828._data_CCBR.kuhnsa.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	lobanovav	grubbers	tsv	data/20230828/20230828._data_CCBR.lobanovav.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	lobanovav	summary	txt	data/20230828/20230828._data_CCBR.lobanovav.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	maggiec	grubbers	tsv	data/20230828/20230828._data_CCBR.maggiec.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	maggiec	summary	txt	data/20230828/20230828._data_CCBR.maggiec.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	mceachronta	grubbers	tsv	data/20230828/20230828._data_CCBR.mceachronta.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	mceachronta	summary	txt	data/20230828/20230828._data_CCBR.mceachronta.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	meyertj	grubbers	tsv	data/20230828/20230828._data_CCBR.meyertj.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	meyertj	summary	txt	data/20230828/20230828._data_CCBR.meyertj.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	michaloa	grubbers	tsv	data/20230828/20230828._data_CCBR.michaloa.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	michaloa	summary	txt	data/20230828/20230828._data_CCBR.michaloa.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	nelsong	grubbers	tsv	data/20230828/20230828._data_CCBR.nelsong.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	nelsong	summary	txt	data/20230828/20230828._data_CCBR.nelsong.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	nousomedr	grubbers	tsv	data/20230828/20230828._data_CCBR.nousomedr.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	nousomedr	summary	txt	data/20230828/20230828._data_CCBR.nousomedr.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	pehrssonec	grubbers	tsv	data/20230828/20230828._data_CCBR.pehrssonec.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	pehrssonec	summary	txt	data/20230828/20230828._data_CCBR.pehrssonec.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	rpcuser	grubbers	tsv	data/20230828/20230828._data_CCBR.rpcuser.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	rpcuser	summary	txt	data/20230828/20230828._data_CCBR.rpcuser.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	slurm	grubbers	tsv	data/20230828/20230828._data_CCBR.slurm.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	slurm	summary	txt	data/20230828/20230828._data_CCBR.slurm.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	sovacoolkl	grubbers	tsv	data/20230828/20230828._data_CCBR.sovacoolkl.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	sovacoolkl	summary	txt	data/20230828/20230828._data_CCBR.sovacoolkl.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	stonelakeak	grubbers	tsv	data/20230828/20230828._data_CCBR.stonelakeak.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	stonelakeak	summary	txt	data/20230828/20230828._data_CCBR.stonelakeak.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	wongnw	grubbers	tsv	data/20230828/20230828._data_CCBR.wongnw.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	wongnw	summary	txt	data/20230828/20230828._data_CCBR.wongnw.summary.txt	TRUE	5	
2023-08-28	_data_CCBR	zhaoyong	grubbers	tsv	data/20230828/20230828._data_CCBR.zhaoyong.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR	zhaoyong	summary	txt	data/20230828/20230828._data_CCBR.zhaoyong.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	dremelse	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.dremelse.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	dremelse	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.dremelse.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	dulekbj	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.dulekbj.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	dulekbj	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.dulekbj.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	elloumif	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.elloumif.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	elloumif	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.elloumif.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	finneyr	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.finneyr.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	finneyr	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.finneyr.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	goldfarbmurenkc	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.goldfarbmurenkc.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	goldfarbmurenkc	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.goldfarbmurenkc.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	jailwalapa	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.jailwalapa.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	jailwalapa	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.jailwalapa.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	kopardevn	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.kopardevn.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	kopardevn	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.kopardevn.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	kuhnsa	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.kuhnsa.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	kuhnsa	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.kuhnsa.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	lackjb	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.lackjb.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	lackjb	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.lackjb.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	lobanovav	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.lobanovav.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	lobanovav	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.lobanovav.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	maggiec	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.maggiec.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	maggiec	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.maggiec.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	markowitzte	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.markowitzte.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	markowitzte	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.markowitzte.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	nousomedr	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.nousomedr.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	nousomedr	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.nousomedr.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	oguzc	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.oguzc.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	oguzc	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.oguzc.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	schaughencypm	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.schaughencypm.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	schaughencypm	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.schaughencypm.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	sovacoolkl	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.sovacoolkl.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	sovacoolkl	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.sovacoolkl.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	tandonm	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.tandonm.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	tandonm	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.tandonm.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	wongnw	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.wongnw.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	wongnw	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.wongnw.summary.txt	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	wresch	grubbers	tsv	data/20230828/20230828._data_CCBR_Pipeliner.wresch.grubbers.tsv	TRUE	5	
2023-08-28	_data_CCBR_Pipeliner	wresch	summary	txt	data/20230828/20230828._data_CCBR_Pipeliner.wresch.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	bianjh	grubbers	tsv	data/20230904/20230904._data_CCBR.bianjh.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	bianjh	summary	txt	data/20230904/20230904._data_CCBR.bianjh.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	cauleyes	grubbers	tsv	data/20230904/20230904._data_CCBR.cauleyes.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	cauleyes	summary	txt	data/20230904/20230904._data_CCBR.cauleyes.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	degenhardthf	grubbers	tsv	data/20230904/20230904._data_CCBR.degenhardthf.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	degenhardthf	summary	txt	data/20230904/20230904._data_CCBR.degenhardthf.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	dremelse	grubbers	tsv	data/20230904/20230904._data_CCBR.dremelse.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	dremelse	summary	txt	data/20230904/20230904._data_CCBR.dremelse.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	eigenbroodjf	grubbers	tsv	data/20230904/20230904._data_CCBR.eigenbroodjf.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	eigenbroodjf	summary	txt	data/20230904/20230904._data_CCBR.eigenbroodjf.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	finneyr	grubbers	tsv	data/20230904/20230904._data_CCBR.finneyr.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	finneyr	summary	txt	data/20230904/20230904._data_CCBR.finneyr.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	fitzgepe	grubbers	tsv	data/20230904/20230904._data_CCBR.fitzgepe.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	fitzgepe	summary	txt	data/20230904/20230904._data_CCBR.fitzgepe.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	guibletwm	grubbers	tsv	data/20230904/20230904._data_CCBR.guibletwm.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	guibletwm	summary	txt	data/20230904/20230904._data_CCBR.guibletwm.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	homanpj	grubbers	tsv	data/20230904/20230904._data_CCBR.homanpj.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	homanpj	summary	txt	data/20230904/20230904._data_CCBR.homanpj.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	jailwalapa	grubbers	tsv	data/20230904/20230904._data_CCBR.jailwalapa.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	jailwalapa	summary	txt	data/20230904/20230904._data_CCBR.jailwalapa.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	kopardevn	grubbers	tsv	data/20230904/20230904._data_CCBR.kopardevn.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	kopardevn	summary	txt	data/20230904/20230904._data_CCBR.kopardevn.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	kuhnsa	grubbers	tsv	data/20230904/20230904._data_CCBR.kuhnsa.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	kuhnsa	summary	txt	data/20230904/20230904._data_CCBR.kuhnsa.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	lobanovav	grubbers	tsv	data/20230904/20230904._data_CCBR.lobanovav.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	lobanovav	summary	txt	data/20230904/20230904._data_CCBR.lobanovav.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	maggiec	grubbers	tsv	data/20230904/20230904._data_CCBR.maggiec.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	maggiec	summary	txt	data/20230904/20230904._data_CCBR.maggiec.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	mceachronta	grubbers	tsv	data/20230904/20230904._data_CCBR.mceachronta.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	mceachronta	summary	txt	data/20230904/20230904._data_CCBR.mceachronta.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	meyertj	grubbers	tsv	data/20230904/20230904._data_CCBR.meyertj.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	meyertj	summary	txt	data/20230904/20230904._data_CCBR.meyertj.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	michaloa	grubbers	tsv	data/20230904/20230904._data_CCBR.michaloa.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	michaloa	summary	txt	data/20230904/20230904._data_CCBR.michaloa.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	nelsong	grubbers	tsv	data/20230904/20230904._data_CCBR.nelsong.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	nelsong	summary	txt	data/20230904/20230904._data_CCBR.nelsong.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	nousomedr	grubbers	tsv	data/20230904/20230904._data_CCBR.nousomedr.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	nousomedr	summary	txt	data/20230904/20230904._data_CCBR.nousomedr.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	pehrssonec	grubbers	tsv	data/20230904/20230904._data_CCBR.pehrssonec.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	pehrssonec	summary	txt	data/20230904/20230904._data_CCBR.pehrssonec.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	rpcuser	grubbers	tsv	data/20230904/20230904._data_CCBR.rpcuser.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	rpcuser	summary	txt	data/20230904/20230904._data_CCBR.rpcuser.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	slurm	grubbers	tsv	data/20230904/20230904._data_CCBR.slurm.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	slurm	summary	txt	data/20230904/20230904._data_CCBR.slurm.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	sovacoolkl	grubbers	tsv	data/20230904/20230904._data_CCBR.sovacoolkl.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	sovacoolkl	summary	txt	data/20230904/20230904._data_CCBR.sovacoolkl.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	stonelakeak	grubbers	tsv	data/20230904/20230904._data_CCBR.stonelakeak.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	stonelakeak	summary	txt	data/20230904/20230904._data_CCBR.stonelakeak.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	wongnw	grubbers	tsv	data/20230904/20230904._data_CCBR.wongnw.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	wongnw	summary	txt	data/20230904/20230904._data_CCBR.wongnw.summary.txt	TRUE	5	
2023-09-04	_data_CCBR	zhaoyong	grubbers	tsv	data/20230904/20230904._data_CCBR.zhaoyong.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR	zhaoyong	summary	txt	data/20230904/20230904._data_CCBR.zhaoyong.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	dremelse	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.dremelse.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	dremelse	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.dremelse.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	dulekbj	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.dulekbj.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	dulekbj	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.dulekbj.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	elloumif	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.elloumif.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	elloumif	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.elloumif.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	finneyr	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.finneyr.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	finneyr	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.finneyr.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	goldfarbmurenkc	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.goldfarbmurenkc.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	goldfarbmurenkc	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.goldfarbmurenkc.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	jailwalapa	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.jailwalapa.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	jailwalapa	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.jailwalapa.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	kopardevn	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.kopardevn.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	kopardevn	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.kopardevn.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	kuhnsa	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.kuhnsa.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	kuhnsa	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.kuhnsa.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	lackjb	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.lackjb.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	lackjb	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.lackjb.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	lobanovav	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.lobanovav.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	lobanovav	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.lobanovav.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	maggiec	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.maggiec.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	maggiec	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.maggiec.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	markowitzte	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.markowitzte.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	markowitzte	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.markowitzte.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	nousomedr	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.nousomedr.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	nousomedr	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.nousomedr.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	oguzc	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.oguzc.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	oguzc	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.oguzc.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	schaughencypm	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.schaughencypm.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	schaughencypm	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.schaughencypm.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	sovacoolkl	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.sovacoolkl.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	sovacoolkl	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.sovacoolkl.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	tandonm	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.tandonm.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	tandonm	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.tandonm.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	wongnw	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.wongnw.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	wongnw	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.wongnw.summary.txt	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	wresch	grubbers	tsv	data/20230904/20230904._data_CCBR_Pipeliner.wresch.grubbers.tsv	TRUE	5	
2023-09-04	_data_CCBR_Pipeliner	wresch	summary	txt	data/20230904/20230904._data_CCBR_Pipeliner.wresch.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	bianjh	grubbers	tsv	data/20230911/20230911._data_CCBR.bianjh.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	bianjh	summary	txt	data/20230911/20230911._data_CCBR.bianjh.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	cauleyes	grubbers	tsv	data/20230911/20230911._data_CCBR.cauleyes.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	cauleyes	summary	txt	data/20230911/20230911._data_CCBR.cauleyes.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	degenhardthf	grubbers	tsv	data/20230911/20230911._data_CCBR.degenhardthf.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	degenhardthf	summary	txt	data/20230911/20230911._data_CCBR.degenhardthf.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	dremelse	grubbers	tsv	data/20230911/20230911._data_CCBR.dremelse.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	dremelse	summary	txt	data/20230911/20230911._data_CCBR.dremelse.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	eigenbroodjf	grubbers	tsv	data/20230911/20230911._data_CCBR.eigenbroodjf.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	eigenbroodjf	summary	txt	data/20230911/20230911._data_CCBR.eigenbroodjf.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	finneyr	grubbers	tsv	data/20230911/20230911._data_CCBR.finneyr.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	finneyr	summary	txt	data/20230911/20230911._data_CCBR.finneyr.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	fitzgepe	grubbers	tsv	data/20230911/20230911._data_CCBR.fitzgepe.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	fitzgepe	summary	txt	data/20230911/20230911._data_CCBR.fitzgepe.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	guibletwm	grubbers	tsv	data/20230911/20230911._data_CCBR.guibletwm.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	guibletwm	summary	txt	data/20230911/20230911._data_CCBR.guibletwm.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	homanpj	grubbers	tsv	data/20230911/20230911._data_CCBR.homanpj.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	homanpj	summary	txt	data/20230911/20230911._data_CCBR.homanpj.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	jailwalapa	grubbers	tsv	data/20230911/20230911._data_CCBR.jailwalapa.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	jailwalapa	summary	txt	data/20230911/20230911._data_CCBR.jailwalapa.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	kopardevn	grubbers	tsv	data/20230911/20230911._data_CCBR.kopardevn.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	kopardevn	summary	txt	data/20230911/20230911._data_CCBR.kopardevn.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	kuhnsa	grubbers	tsv	data/20230911/20230911._data_CCBR.kuhnsa.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	kuhnsa	summary	txt	data/20230911/20230911._data_CCBR.kuhnsa.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	lobanovav	grubbers	tsv	data/20230911/20230911._data_CCBR.lobanovav.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	lobanovav	summary	txt	data/20230911/20230911._data_CCBR.lobanovav.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	maggiec	grubbers	tsv	data/20230911/20230911._data_CCBR.maggiec.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	maggiec	summary	txt	data/20230911/20230911._data_CCBR.maggiec.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	mceachronta	grubbers	tsv	data/20230911/20230911._data_CCBR.mceachronta.grubbers.tsv	TRUE	5	
2023-09-11	_data_CCBR	mceachronta	summary	txt	data/20230911/20230911._data_CCBR.mceachronta.summary.txt	TRUE	5	
2023-09-11	_data_CCBR	meyertj	grubbers	tsv	data/20230911/20230911._data_CCBR.meyertj.grubbers.tsv	TRUE	5	
